name,latitude,longitude,type,access token,label,inactivityTimeout,active
Sensor_hub_01,40.6246665863825,-8.65726089425152,Sensorhub,Sensor_hub_01,Sensor_hub_01,60000,true
Sensor_hub_02,40.625686,-8.647041,Sensorhub,Sensor_hub_02,Sensor_hub_02,60000,true
Sensor_hub_03,40.625219,-8.648858,Sensorhub,Sensor_hub_03,Sensor_hub_03,60000,true
Sensor_hub_04,40.626451,-8.643095,Sensorhub,Sensor_hub_04,Sensor_hub_04,60000,true
Sensor_hub_05,40.625506,-8.635801,Sensorhub,Sensor_hub_05,Sensor_hub_05,60000,true
Sensor_hub_06,40.628462,-8.639728,Sensorhub,Sensor_hub_06,Sensor_hub_06,60000,true
Sensor_hub_07,40.62702,-8.645719,Sensorhub,Sensor_hub_07,Sensor_hub_07,60000,true
Sensor_hub_08,40.627253,-8.648056,Sensorhub,Sensor_hub_08,Sensor_hub_08,60000,true
Sensor_hub_09,40.626751,-8.65145,Sensorhub,Sensor_hub_09,Sensor_hub_09,60000,true
Sensor_hub_10,40.628836,-8.651291,Sensorhub,Sensor_hub_10,Sensor_hub_10,60000,true
Sensor_hub_11,40.629015,-8.64782,Sensorhub,Sensor_hub_11,Sensor_hub_11,60000,true
Sensor_hub_12,40.628596,-8.656104,Sensorhub,Sensor_hub_12,Sensor_hub_12,60000,true
Sensor_hub_13,40.630227,-8.643558,Sensorhub,Sensor_hub_13,Sensor_hub_13,60000,true
Sensor_hub_14,40.63119,-8.636627,Sensorhub,Sensor_hub_14,Sensor_hub_14,60000,true
Sensor_hub_15,40.63297,-8.63873,Sensorhub,Sensor_hub_15,Sensor_hub_15,60000,true
Sensor_hub_16,40.630332,-8.65916,Sensorhub,Sensor_hub_16,Sensor_hub_16,60000,true
Sensor_hub_17,40.630013,-8.656628,Sensorhub,Sensor_hub_17,Sensor_hub_17,60000,true
Sensor_hub_18,40.631368,-8.64815,Sensorhub,Sensor_hub_18,Sensor_hub_18,60000,true
Sensor_hub_19,40.631286,-8.651669,Sensorhub,Sensor_hub_19,Sensor_hub_19,60000,true
Sensor_hub_20,40.631524,-8.657227,Sensorhub,Sensor_hub_20,Sensor_hub_20,60000,true
Sensor_hub_21,40.632461,-8.654941,Sensorhub,Sensor_hub_21,Sensor_hub_21,60000,true
Sensor_hub_22,40.634078,-8.658224,Sensorhub,Sensor_hub_22,Sensor_hub_22,60000,true
Sensor_hub_23,40.634431,-8.655011,Sensorhub,Sensor_hub_23,Sensor_hub_23,60000,true
Sensor_hub_24,40.634245,-8.650118,Sensorhub,Sensor_hub_24,Sensor_hub_24,60000,true
Sensor_hub_25,40.634356,-8.647317,Sensorhub,Sensor_hub_25,Sensor_hub_25,60000,true
Sensor_hub_26,40.635302,-8.65198,Sensorhub,Sensor_hub_26,Sensor_hub_26,60000,true
Sensor_hub_27,40.636166,-8.649957,Sensorhub,Sensor_hub_27,Sensor_hub_27,60000,true
Sensor_hub_28,40.636545,-8.645785,Sensorhub,Sensor_hub_28,Sensor_hub_28,60000,true
Sensor_hub_29,40.637597,-8.648407,Sensorhub,Sensor_hub_29,Sensor_hub_29,60000,true
Sensor_hub_30,40.637065,-8.653368,Sensorhub,Sensor_hub_30,Sensor_hub_30,60000,true
Sensor_hub_31,40.636868,-8.657194,Sensorhub,Sensor_hub_31,Sensor_hub_31,60000,true
Sensor_hub_32,40.638526,-8.657057,Sensorhub,Sensor_hub_32,Sensor_hub_32,60000,true
Sensor_hub_33,40.638726,-8.643519,Sensorhub,Sensor_hub_33,Sensor_hub_33,60000,true
Sensor_hub_34,40.638501,-8.637593,Sensorhub,Sensor_hub_34,Sensor_hub_34,60000,true
Sensor_hub_35,40.640485,-8.635549,Sensorhub,Sensor_hub_35,Sensor_hub_35,60000,true
Sensor_hub_36,40.639633,-8.639803,Sensorhub,Sensor_hub_36,Sensor_hub_36,60000,true
Sensor_hub_37,40.640757,-8.642453,Sensorhub,Sensor_hub_37,Sensor_hub_37,60000,true
Sensor_hub_38,40.642263,-8.639897,Sensorhub,Sensor_hub_38,Sensor_hub_38,60000,true
Sensor_hub_39,40.643432,-8.643451,Sensorhub,Sensor_hub_39,Sensor_hub_39,60000,true
Sensor_hub_40,40.643595,-8.641088,Sensorhub,Sensor_hub_40,Sensor_hub_40,60000,true
Sensor_hub_41,40.644315,-8.638011,Sensorhub,Sensor_hub_41,Sensor_hub_41,60000,true
Sensor_hub_42,40.646177,-8.635949,Sensorhub,Sensor_hub_42,Sensor_hub_42,60000,true
